# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	997
#@/user_id	47f654cc-0104-4fdb-9a56-97378a68a2be
a 	啊	c=7 d=3.18802 t=996
zhi qian 	之前	c=2 d=1.92312 t=265
zhi shi 	只是	c=2 d=1.29969 t=295
zhong guo 	中國	c=1 d=1 t=831
zhou liu 	週六	c=1 d=1.07711 t=666
zhou liu zhou ri 	週六週日	c=1 d=1 t=615
zhou ri 	週日	c=0 d=0.1 t=614
zhua jin 	抓緊	c=1 d=1 t=433
zhuan yong 	專用	c=1 d=1 t=233
zi ji 	自己	c=4 d=1.27168 t=802
zi ti 	字體	c=4 d=3.94573 t=980
zi ti 	自體	c=3 d=2.95064 t=976
zu gou 	足夠	c=1 d=1 t=505
zu li 	阻力	c=1 d=1 t=352
zui 	最	c=1 d=1 t=803
zuo tian 	昨天	c=1 d=1 t=297
